,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
57,22136,2022-11-28,01,11,15,17,33,03,11,33,11,15,01,17,"1,089,020,630",4,"10,000,000",47,"248,618","243,043,220",77,15.40,17,5,0,5,4,0,1,4,-3,4,5,0,0,32,16,0,0,2
58,22135,2022-11-26,09,10,27,31,32,01,03,31,27,10,32,09,"1,072,783,225",5,"10,000,000",47,"310,719","276,637,790",109,21.80,19,3,2,1,1,0,3,2,1,5,4,2,2,23,17,1,2,1
59,22134,2022-11-23,03,16,23,27,32,03,06,32,23,16,27,03,"1,082,667,691",10,"7,180,775",131,"67,295","260,504,803",101,20.20,21,3,2,1,1,0,3,2,1,4,6,0,0,29,13,0,0,2
60,22133,2022-11-21,01,02,14,30,31,06,09,02,14,31,30,01,"1,126,501,375",2,"10,000,000",74,"189,237","268,194,352",78,15.60,8,2,3,-1,0,2,2,3,-1,4,4,2,2,30,16,0,2,2
61,22132,2022-11-19,02,27,30,34,35,09,12,35,02,34,30,27,"1,087,727,608",1,"10,000,000",78,"210,404","303,478,141",128,25.60,18,2,3,-1,0,1,4,1,3,5,6,1,1,33,25,1,1,0
62,22131,2022-11-16,02,06,08,10,17,05,06,06,08,02,17,10,"1,023,428,077",13,"7,230,419",130,"68,297","280,955,531",43,8.60,23,1,4,-3,0,3,0,5,-5,5,4,0,0,15,7,0,0,3
63,22130,2022-11-14,05,07,15,18,23,05,10,15,18,05,07,23,"1,072,190,624",1,"10,000,000",116,"96,255","276,026,401",68,13.60,28,4,1,3,2,0,2,3,-1,4,5,0,0,18,8,0,1,1
64,22129,2022-11-12,10,17,23,34,35,01,04,35,23,10,34,17,"1,037,498,580",1,"10,000,000",73,"234,563","296,103,979",119,23.80,19,3,2,1,1,0,3,2,1,5,6,1,1,25,11,2,3,1
65,22128,2022-11-09,10,19,21,23,35,04,10,21,19,35,10,23,"971,487,159",0,0,59,"267,208","287,676,329",108,21.60,18,4,1,3,3,0,4,1,3,5,5,0,0,25,12,0,0,3
66,22127,2022-11-07,02,03,08,09,20,04,10,03,08,09,20,02,"898,918,318",1,"10,000,000",111,"104,450","281,679,123",42,8.40,22,2,3,-1,0,0,1,4,-3,5,4,2,2,18,11,1,1,2
67,22126,2022-11-05,04,05,08,22,35,01,03,04,05,08,35,22,"858,035,622",4,"10,000,000",108,"124,630","302,545,991",74,14.80,24,2,3,-1,0,1,2,3,-1,4,6,1,1,31,14,0,0,2
68,22125,2022-11-02,03,07,14,16,19,01,11,14,03,07,16,19,"847,578,280",3,"10,000,000",59,"185,273","281,402,027",59,11.80,29,3,2,1,1,1,1,4,-3,5,6,0,0,16,7,0,0,1
69,22124,2022-10-31,02,04,11,25,30,06,12,02,04,25,11,30,"829,363,342",4,"10,000,000",81,"184,091","280,957,519",72,14.40,12,2,3,-1,1,1,2,3,-1,5,6,0,0,28,14,2,2,1
70,22123,2022-10-29,02,20,28,29,30,07,10,20,28,29,30,02,"807,264,782",6,"8,863,199",84,"146,975","305,820,352",109,21.80,19,1,4,-3,0,2,4,1,3,4,5,2,1,28,18,0,0,1
71,22122,2022-10-26,04,15,17,19,25,06,12,17,19,15,25,04,"833,361,576",3,"10,000,000",78,"152,034","274,529,792",80,16.00,30,4,1,3,3,0,2,3,-1,4,5,0,0,21,11,2,2,3
72,22121,2022-10-24,04,15,16,20,21,04,05,04,16,15,21,20,"808,811,732",4,"8,403,281",157,"75,311","273,260,256",76,15.20,16,2,3,-1,0,1,2,3,-1,5,4,2,2,17,11,0,0,1
73,22120,2022-10-22,11,22,26,30,33,03,05,26,22,11,33,30,"785,438,059",20,"6,147,599",128,"104,891","297,092,815",122,24.40,12,2,3,-1,0,2,4,1,3,5,4,0,0,22,11,0,0,2
74,22119,2022-10-19,01,09,16,25,29,04,09,29,16,09,01,25,"935,330,701",9,"6,378,248",187,"27,731","265,928,079",80,16.00,30,4,1,3,2,0,2,3,-1,4,6,0,0,28,9,0,0,3
75,22118,2022-10-17,02,05,15,17,26,02,08,15,17,26,05,02,"980,149,420",2,"10,000,000",79,"168,497","266,205,201",65,13.00,25,3,2,1,2,0,1,4,-3,4,6,0,0,24,10,1,1,0
76,22117,2022-10-15,09,12,15,21,32,02,07,15,09,21,12,32,"943,874,219",2,"10,000,000",100,"133,836","288,760,077",89,17.80,19,3,2,1,1,0,2,3,-1,4,4,0,0,23,11,0,0,2
77,22116,2022-10-12,01,07,20,22,31,07,12,22,20,07,01,31,"903,895,960",2,"10,000,000",93,"133,489","268,635,897",81,16.20,11,3,2,1,1,1,3,2,1,4,6,0,0,30,13,1,1,2
78,22115,2022-10-10,17,19,20,23,27,03,08,20,19,23,17,27,"876,900,513",1,"10,000,000",73,"129,865","264,625,441",106,21.20,26,4,1,3,2,0,4,1,3,4,4,1,1,10,4,0,1,3
79,22114,2022-10-08,11,21,24,27,28,05,10,21,24,28,11,27,"850,606,831",3,"10,000,000",146,"79,680","279,880,005",111,22.20,21,3,2,1,1,0,4,1,3,4,5,1,1,17,10,0,0,1
80,22113,2022-10-05,13,15,22,31,33,05,12,13,33,31,22,15,"816,761,134",3,"10,000,000",61,"229,523","276,092,506",114,22.80,14,4,1,3,2,0,3,2,1,4,3,0,0,20,9,0,0,0
81,22112,2022-09-28,04,11,18,20,26,06,12,26,11,04,20,18,"782,148,237",6,"7,374,292",92,"133,251","277,451,326",79,15.80,19,1,4,-3,0,2,3,2,1,5,5,0,0,22,7,0,0,3
82,22111,2022-09-26,06,12,16,19,31,06,10,19,31,16,06,12,"770,835,539",3,"10,000,000",81,"165,393","275,608,888",84,16.80,24,2,3,-1,1,2,2,3,-1,4,6,0,0,25,12,1,1,2
83,22110,2022-09-24,02,13,16,18,23,03,06,16,13,02,18,23,"741,140,376",5,"7,700,255",106,"102,849","293,502,614",72,14.40,22,2,3,-1,0,1,2,3,-1,4,5,0,0,21,11,0,0,1
84,22109,2022-09-21,05,09,24,29,35,05,12,29,35,09,24,05,"726,986,669",13,"5,529,833",108,"89,188","274,478,389",102,20.40,32,4,1,3,2,0,3,2,1,3,6,0,0,30,15,0,0,2
85,22108,2022-09-19,04,07,13,26,28,07,11,26,13,07,28,04,"796,949,042",2,"9,817,382",114,"97,359","270,398,530",78,15.60,28,2,3,-1,1,1,2,3,-1,5,6,0,0,24,13,0,2,1
86,22107,2022-09-17,07,09,19,28,29,08,10,29,09,07,28,19,"771,831,893",11,"7,084,969",326,"22,384","289,183,885",92,18.40,42,4,1,3,2,0,3,2,1,3,5,1,1,22,10,1,1,1
87,22106,2022-09-14,16,17,21,28,32,04,07,21,32,17,28,16,"817,054,417",4,"8,148,482",71,"189,339","263,686,397",114,22.80,24,2,3,-1,1,1,3,2,1,5,4,1,1,16,7,0,1,1
88,22105,2022-09-12,01,08,09,21,22,01,04,09,01,08,21,22,"797,227,538",6,"9,548,733",132,"87,218","261,227,681",61,12.20,21,3,2,1,1,0,2,3,-1,4,4,2,2,21,12,0,0,0
89,22104,2022-09-10,03,05,13,19,25,02,05,19,13,25,03,05,"815,868,127",5,"10,000,000",152,"66,422","278,107,743",65,13.00,25,5,0,5,4,0,2,3,-1,3,5,0,0,22,8,0,0,1
90,22103,2022-09-07,08,12,16,21,32,01,12,08,21,16,32,12,"828,275,400",2,"10,000,000",87,"150,792","257,860,867",89,17.80,19,1,4,-3,0,2,2,3,-1,4,5,0,0,24,11,0,0,1
91,22102,2022-09-05,01,05,14,20,30,02,04,01,20,14,05,30,"802,491,818",5,"7,098,382",111,"98,795","254,102,938",70,14.00,10,2,3,-1,1,2,2,3,-1,4,6,0,0,29,10,0,0,2
92,22101,2022-09-03,02,04,06,07,08,03,06,02,07,06,04,08,"795,328,776",5,"7,881,688",242,"51,126","285,323,196",27,5.40,27,1,4,-3,0,2,0,5,-5,5,2,2,1,6,2,0,0,0
93,22100,2022-08-31,10,19,20,23,31,03,07,10,20,19,31,23,"778,544,296",12,"6,928,361",225,"34,966","263,081,270",103,20.60,13,3,2,1,1,0,4,1,3,4,6,1,1,21,9,0,0,1
94,22099,2022-08-29,07,18,25,27,33,04,05,33,07,18,27,25,"828,721,804",2,"10,000,000",92,"117,690","262,403,522",110,22.00,30,4,1,3,2,0,4,1,3,4,6,0,0,26,11,0,0,1
95,22098,2022-08-27,01,03,06,11,13,03,11,11,03,01,06,13,"808,652,607",7,"10,000,000",91,"159,365","290,597,334",34,6.80,14,4,1,3,2,0,0,5,-5,3,3,0,0,12,5,0,1,1
96,22097,2022-08-24,05,13,22,28,29,05,11,29,22,28,05,13,"812,318,846",5,"10,000,000",133,"75,131","265,903,896",97,19.40,27,3,2,1,1,1,3,2,1,5,6,1,1,24,9,0,0,1
97,22096,2022-08-22,16,19,24,27,33,01,06,16,33,19,24,27,"818,056,288",1,"10,000,000",82,"156,359","265,333,149",119,23.80,29,3,2,1,1,0,4,1,3,5,4,0,0,17,6,0,0,1
98,22095,2022-08-20,05,08,22,25,35,02,07,35,25,08,22,05,"779,067,575",4,"7,575,561",86,"138,200","285,755,605",95,19.00,25,3,2,1,1,1,3,2,1,3,4,0,0,30,14,0,0,2
99,22094,2022-08-17,03,04,07,12,19,02,05,19,04,07,12,03,"765,240,459",11,"6,755,759",116,"93,869","263,091,435",45,9.00,25,3,2,1,0,0,1,4,-3,5,6,1,1,16,7,0,1,1
100,22093,2022-08-15,07,11,14,21,29,07,10,11,29,21,07,14,"835,132,342",15,"6,181,280",114,"71,002","263,859,632",82,16.40,22,4,1,3,2,0,2,3,-1,4,5,0,0,22,8,1,1,1
101,22092,2022-08-13,01,04,12,23,29,05,12,12,04,29,23,01,"924,505,092",3,"10,000,000",98,"142,234","284,162,500",69,13.80,19,3,2,1,1,1,2,3,-1,5,5,0,0,28,11,0,0,3
102,22091,2022-08-10,02,11,20,22,34,04,12,22,02,20,11,34,"892,175,409",8,"9,889,786",54,"245,249","264,872,501",89,17.80,9,1,4,-3,0,2,3,2,1,4,5,0,0,32,12,0,1,1
103,22090,2022-08-08,01,20,24,25,31,09,12,01,25,31,24,20,"912,078,544",3,"10,000,000",100,"134,459","267,762,065",101,20.20,11,3,2,1,1,1,4,1,3,4,6,1,1,30,19,2,3,1
