,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序
2747,05030,2005-03-17,01,05,09,14,22,28,05,09,22,28,14,05,01
2746,05031,2005-03-20,04,10,16,20,23,32,07,16,20,32,10,04,23
2745,05032,2005-03-22,05,15,19,20,25,29,03,19,20,15,25,05,29
2744,05033,2005-03-24,07,08,12,14,19,20,07,08,07,20,12,14,19
2743,05034,2005-03-27,05,17,18,25,28,32,09,28,17,05,25,32,18
2742,05035,2005-03-29,12,16,21,28,29,30,14,21,28,29,30,16,12
2741,05036,2005-03-31,12,19,20,21,26,31,15,26,19,31,21,12,20
2740,05037,2005-04-03,07,12,14,22,24,32,16,32,07,14,24,22,12
2739,05038,2005-04-05,04,07,11,20,27,28,16,28,11,27,20,07,04
2738,05039,2005-04-07,02,16,18,19,21,29,09,16,21,02,19,29,18
2737,05040,2005-04-10,01,12,21,24,30,32,13,30,21,24,32,12,01
2736,05041,2005-04-12,02,11,16,23,24,29,03,16,23,11,29,24,02
2735,05042,2005-04-14,11,16,21,26,27,30,15,30,16,27,26,11,21
2734,05043,2005-04-17,04,05,06,07,08,32,05,04,05,08,07,32,06
2733,05044,2005-04-19,01,06,16,17,18,22,09,18,22,06,17,16,01
2732,05045,2005-04-21,01,07,10,15,18,20,10,18,07,15,10,01,20
2731,05046,2005-04-24,09,16,18,20,22,24,05,16,09,22,18,24,20
2730,05047,2005-04-26,02,03,05,07,08,27,15,07,05,02,03,08,27
2729,05048,2005-04-28,06,07,08,10,16,28,02,16,10,06,28,07,08
2728,05049,2005-05-01,02,03,08,10,25,27,12,02,03,08,27,10,25
2727,05050,2005-05-03,02,09,12,20,26,32,13,02,26,32,09,20,12
2726,05051,2005-05-05,03,06,14,19,20,21,02,21,14,20,03,19,06
2725,05052,2005-05-08,01,02,14,17,30,32,01,01,14,17,32,02,30
2724,05053,2005-05-10,04,07,10,14,27,29,09,04,07,14,29,27,10
2723,05054,2005-05-12,05,13,17,18,21,29,14,29,17,13,05,18,21
2722,05055,2005-05-15,05,20,22,30,32,33,09,30,05,32,22,20,33
2721,05056,2005-05-17,12,17,19,27,29,31,09,19,31,27,17,12,29
2720,05057,2005-05-19,05,06,10,15,30,31,13,06,05,15,10,30,31
2719,05058,2005-05-22,04,06,10,21,25,26,10,06,21,26,10,25,04
2718,05059,2005-05-24,07,11,14,18,24,29,07,24,07,11,18,14,29
2717,05060,2005-05-26,09,12,21,25,31,33,13,33,25,09,21,12,31
2716,05061,2005-05-29,05,09,14,21,23,24,01,09,24,23,14,21,05
2715,05062,2005-05-31,02,07,11,12,20,23,07,02,11,23,12,07,20
2714,05063,2005-06-02,02,11,13,18,22,30,04,18,30,02,13,22,11
2713,05064,2005-06-05,10,18,23,27,30,32,08,18,32,30,10,27,23
2712,05065,2005-06-07,12,16,17,21,22,23,16,12,16,21,17,23,22
2711,05066,2005-06-09,02,04,10,11,25,28,05,02,04,10,25,28,11
2710,05067,2005-06-12,03,12,16,20,21,26,16,16,26,21,03,20,12
2709,05068,2005-06-14,01,08,10,13,25,33,13,33,01,25,08,13,10
2708,05069,2005-06-16,07,09,21,24,31,33,12,33,07,31,24,09,21
2707,05070,2005-06-19,03,04,08,14,16,26,04,04,08,26,14,16,03
2706,05071,2005-06-21,04,08,12,14,16,22,10,08,16,14,12,04,22
2705,05072,2005-06-23,06,10,19,20,24,33,11,20,06,24,33,10,19
2704,05073,2005-06-26,01,06,08,09,18,20,01,01,09,06,08,18,20
2703,05074,2005-06-28,06,09,18,20,26,29,09,29,26,06,18,09,20
2702,05075,2005-06-30,11,13,14,16,18,31,14,16,18,11,13,31,14
2701,05076,2005-07-03,04,09,11,22,25,28,13,04,22,28,11,25,09
2700,05077,2005-07-05,08,17,22,24,32,33,16,22,17,33,24,08,32
2699,05078,2005-07-07,03,11,15,20,26,32,11,15,20,32,26,03,11
2698,05079,2005-07-10,03,09,20,24,25,28,05,24,28,25,03,09,20
2697,05080,2005-07-12,01,12,14,26,27,32,16,14,12,32,26,27,01
2696,05081,2005-07-14,02,04,10,12,26,30,03,10,02,30,26,12,04
2695,05082,2005-07-17,01,07,11,14,19,20,12,07,01,19,20,11,14
2694,05083,2005-07-19,03,05,09,14,16,30,13,05,16,09,03,14,30
2693,05084,2005-07-21,01,02,07,15,19,20,03,01,07,15,02,20,19
2692,05085,2005-07-24,08,09,13,14,20,22,12,22,14,08,13,09,20
2691,05086,2005-07-26,07,11,12,24,27,29,12,24,11,07,12,27,29
2690,05087,2005-07-28,08,09,15,16,23,26,08,23,15,16,08,09,26
2689,05088,2005-07-31,01,03,07,18,20,24,07,24,18,03,20,07,01
2688,05089,2005-08-02,05,19,20,23,26,31,12,05,26,19,31,23,20
2687,05090,2005-08-04,01,09,21,25,29,32,03,09,21,25,29,01,32
2686,05091,2005-08-07,01,11,12,15,26,27,13,27,12,26,15,11,01
2685,05092,2005-08-09,08,13,19,26,28,31,10,08,31,19,28,26,13
2684,05093,2005-08-11,04,06,17,23,25,29,14,23,06,29,25,17,04
2683,05094,2005-08-14,03,05,09,23,27,33,03,33,27,03,05,09,23
2682,05095,2005-08-16,09,12,18,21,28,29,05,12,28,09,29,18,21
2681,05096,2005-08-18,04,05,17,18,26,33,04,26,17,04,33,05,18
2680,05097,2005-08-21,05,10,23,27,28,30,15,28,10,05,27,30,23
2679,05098,2005-08-23,12,15,19,22,31,33,01,33,15,12,31,22,19
2678,05099,2005-08-25,10,13,16,22,24,31,09,16,13,31,10,24,22
2677,05100,2005-08-28,02,04,09,14,16,31,03,04,02,31,09,14,16
2676,05101,2005-08-30,09,16,19,21,22,24,12,22,09,19,21,16,24
2675,05102,2005-09-01,02,05,06,14,24,31,12,14,06,05,24,02,31
2674,05103,2005-09-04,04,07,16,18,23,30,07,04,18,30,16,23,07
2673,05104,2005-09-06,02,04,21,23,30,33,09,04,02,23,21,30,33
2672,05105,2005-09-08,04,15,23,30,32,33,03,23,15,32,04,33,30
2671,05106,2005-09-11,01,11,13,24,26,31,13,13,31,01,11,24,26
2670,05107,2005-09-13,09,10,20,24,25,26,11,09,25,26,24,10,20
2669,05108,2005-09-15,03,10,12,24,29,30,06,12,30,29,10,03,24
2668,05109,2005-09-18,03,05,13,15,17,31,04,31,03,17,15,05,13
2667,05110,2005-09-20,07,10,16,19,24,25,09,25,16,19,24,07,10
2666,05111,2005-09-22,03,07,15,16,19,29,09,07,29,03,19,16,15
2665,05112,2005-09-25,04,12,22,28,29,30,16,30,29,04,28,12,22
2664,05113,2005-09-27,15,18,20,22,26,27,03,26,18,27,22,20,15
2663,05114,2005-09-29,06,07,10,15,21,27,06,15,21,10,27,07,06
2662,05115,2005-10-02,03,12,18,23,30,33,02,33,18,03,12,23,30
2661,05116,2005-10-04,04,06,08,14,15,30,10,15,30,14,06,08,04
2660,05117,2005-10-06,06,17,22,27,28,32,03,28,22,27,06,17,32
2659,05118,2005-10-09,04,09,12,15,26,31,16,15,04,09,26,12,31
2658,05119,2005-10-11,01,07,11,18,20,22,02,01,20,11,18,22,07
2657,05120,2005-10-13,01,06,13,18,30,32,14,18,06,01,13,32,30
2656,05121,2005-10-16,01,07,20,25,31,32,12,32,31,07,25,01,20
2655,05122,2005-10-18,01,04,07,14,30,32,09,32,14,01,30,04,07
2654,05123,2005-10-20,11,12,13,17,18,25,07,13,18,12,25,11,17
2653,05124,2005-10-23,05,06,10,19,31,33,11,05,31,06,19,33,10
2652,05125,2005-10-25,06,14,18,28,31,32,03,06,31,14,18,32,28
2651,05126,2005-10-27,02,08,13,19,25,26,09,13,26,19,08,25,02
2650,05127,2005-10-30,04,06,11,14,23,25,12,04,25,11,23,06,14
2649,05128,2005-11-01,02,04,14,23,29,33,15,14,23,29,02,04,33
2648,05129,2005-11-03,05,10,14,20,27,33,03,14,20,10,27,05,33
2647,05130,2005-11-06,03,05,09,15,20,25,16,25,20,15,09,03,05
2646,05131,2005-11-08,02,07,10,11,12,24,03,02,12,07,10,11,24
2645,05132,2005-11-10,02,04,10,18,27,29,15,18,10,04,29,27,02
2644,05133,2005-11-13,01,07,14,16,18,25,11,18,14,07,01,25,16
2643,05134,2005-11-15,04,13,14,18,26,30,01,04,13,26,14,30,18
2642,05135,2005-11-17,01,05,13,15,21,25,11,13,01,15,05,25,21
2641,05136,2005-11-20,05,14,16,18,25,27,13,27,16,05,25,14,18
2640,05137,2005-11-22,03,09,15,23,25,33,12,09,23,33,25,15,03
