,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
1541,13103,02,04,09,13,18,20,07,66,11.00,26,2,4,-2,1,2,2,4,-2,6,4,0,0,18,5,2,2,2
1542,13104,01,02,04,15,17,28,11,67,11.17,27,3,3,0,1,1,2,4,-2,6,6,1,1,27,11,0,2,2
1543,13105,01,11,23,27,31,32,09,125,20.83,15,5,1,4,4,0,4,2,2,4,9,1,1,31,12,1,1,2
1544,13106,09,11,23,30,31,32,06,136,22.67,16,4,2,2,2,0,4,2,2,5,7,2,1,23,12,4,4,3
1545,13107,07,09,11,17,28,31,11,103,17.17,33,5,1,4,3,0,3,3,0,4,9,0,0,24,11,0,3,1
1546,13108,16,21,22,28,31,32,05,150,25.00,20,2,4,-2,0,1,5,1,4,4,7,2,2,16,6,0,2,2
1547,13109,09,23,24,27,29,32,08,144,24.00,34,4,2,2,2,0,5,1,4,5,8,1,1,23,14,1,1,4
1548,13110,15,17,18,21,29,32,13,132,22.00,32,4,2,2,2,0,5,1,4,6,6,1,1,17,8,2,2,0
1549,13111,01,02,03,06,08,33,13,53,8.83,23,3,3,0,0,1,1,5,-4,5,7,2,1,32,25,0,0,1
1550,13112,01,06,12,13,22,31,07,85,14.17,15,3,3,0,0,1,2,4,-2,4,9,1,1,30,9,1,2,1
1551,13113,04,07,11,17,24,33,09,96,16.00,26,4,2,2,2,0,3,3,0,4,8,0,0,29,9,0,0,2
1552,13114,04,06,17,21,23,33,07,104,17.33,24,4,2,2,3,1,4,2,2,5,8,0,0,29,11,2,3,2
1553,13115,03,12,16,17,18,27,08,93,15.50,33,3,3,0,0,1,3,3,0,5,7,2,1,24,9,0,1,3
1554,13116,12,15,21,26,32,33,07,139,23.17,19,3,3,0,1,1,4,2,2,5,8,1,1,21,6,0,1,2
1555,13117,09,12,13,24,27,33,16,118,19.67,28,4,2,2,1,0,3,3,0,5,8,1,1,24,11,1,2,3
1556,13118,02,03,17,22,32,33,16,109,18.17,19,3,3,0,1,1,4,2,2,3,7,2,2,31,14,1,1,1
1557,13119,05,15,20,22,26,32,09,120,20.00,20,2,4,-2,1,3,4,2,2,4,7,0,0,27,10,1,2,1
1558,13120,05,06,13,18,23,31,11,96,16.00,26,4,2,2,1,0,3,3,0,5,6,1,1,26,8,1,1,3
1559,13121,04,05,06,07,25,27,07,74,12.33,34,4,2,2,2,0,2,4,-2,4,4,3,1,23,18,0,2,4
1560,13122,07,10,13,15,26,27,11,98,16.33,28,4,2,2,1,0,2,4,-2,5,9,1,1,20,11,1,2,2
1561,13123,01,02,06,11,17,25,02,62,10.33,22,4,2,2,2,1,2,4,-2,5,9,1,1,24,8,0,0,3
1562,13124,03,09,15,23,25,30,07,105,17.50,25,5,1,4,4,0,3,3,0,4,9,0,0,27,8,0,1,1
1563,13125,04,06,08,18,25,28,16,89,14.83,39,1,5,-4,0,3,3,3,0,4,8,0,0,24,10,1,1,2
1564,13126,04,10,19,27,31,33,16,124,20.67,24,4,2,2,3,1,4,2,2,6,8,0,0,29,9,1,1,2
1565,13127,02,03,13,20,22,33,14,93,15.50,13,3,3,0,1,1,3,3,0,3,8,1,1,31,11,1,1,2
1566,13128,07,13,17,19,25,31,08,112,18.67,32,6,0,6,5,0,4,2,2,5,4,0,0,24,6,0,1,1
1567,13129,05,06,10,14,27,31,14,93,15.50,23,3,3,0,1,2,2,4,-2,6,6,1,1,26,13,1,1,2
1568,13130,01,03,15,16,31,33,08,99,16.50,19,5,1,4,3,0,2,4,-2,4,7,1,1,32,15,0,1,1
1569,13131,04,06,12,17,19,26,09,84,14.00,34,2,4,-2,1,2,3,3,0,5,7,0,0,22,7,0,0,2
1570,13132,20,21,22,23,25,27,12,138,23.00,18,4,2,2,2,0,6,0,6,6,2,3,1,7,2,0,0,3
1571,13133,04,07,12,19,22,25,01,89,14.83,29,3,3,0,0,0,3,3,0,5,6,0,0,21,7,0,2,2
1572,13134,01,17,18,19,25,29,10,109,18.17,39,5,1,4,3,0,5,1,4,5,9,2,1,28,16,1,2,1
1573,13135,09,23,24,25,29,31,12,141,23.50,31,5,1,4,3,0,5,1,4,5,7,2,1,22,14,0,2,1
1574,13136,04,06,14,16,18,26,06,84,14.00,34,0,6,-6,0,5,2,4,-2,3,3,0,0,22,8,0,0,1
1575,13137,04,17,19,23,24,27,10,114,19.00,34,4,2,2,2,0,5,1,4,4,9,1,1,23,13,1,1,3
1576,13138,04,15,16,24,27,28,03,114,19.00,34,2,4,-2,0,1,3,3,0,5,6,2,2,24,11,1,3,3
1577,13139,07,08,11,13,21,27,08,87,14.50,27,5,1,4,3,0,2,4,-2,4,8,1,1,20,8,0,1,1
1578,13140,01,05,12,13,21,22,10,74,12.33,14,4,2,2,2,0,2,4,-2,4,7,2,2,21,8,2,2,2
1579,13141,03,04,05,25,30,31,04,98,16.33,18,4,2,2,1,0,3,3,0,5,6,3,2,28,20,0,1,1
1580,13142,11,12,14,20,22,29,14,108,18.00,18,2,4,-2,0,3,3,3,0,5,7,1,1,18,7,0,0,1
1581,13143,12,18,21,22,27,32,11,132,22.00,22,2,4,-2,0,1,5,1,4,4,6,1,1,20,6,0,2,2
1582,13144,05,07,12,19,27,31,02,101,16.83,31,5,1,4,3,0,3,3,0,5,8,0,0,26,8,1,2,2
1583,13145,06,10,13,16,23,24,15,92,15.33,22,2,4,-2,0,1,2,4,-2,4,7,1,1,18,7,0,0,2
1584,13146,08,20,25,30,32,33,01,148,24.67,18,2,4,-2,0,2,5,1,4,5,8,1,1,25,12,0,0,1
1585,13147,02,15,16,17,19,30,08,99,16.50,29,3,3,0,1,0,3,3,0,6,5,2,1,28,13,0,1,1
1586,13148,06,11,12,14,17,22,01,82,13.67,22,2,4,-2,0,1,2,4,-2,5,4,1,1,16,5,0,1,2
1587,13149,09,18,25,26,30,32,11,140,23.33,30,2,4,-2,0,2,5,1,4,6,9,1,1,23,9,0,0,1
1588,13150,01,15,16,25,26,29,10,112,18.67,32,4,2,2,1,0,3,3,0,4,7,2,2,28,14,0,2,3
1589,13151,03,09,10,19,28,33,09,102,17.00,32,4,2,2,1,0,3,3,0,4,9,1,1,30,9,0,0,1
1590,13152,04,06,14,16,18,29,05,87,14.50,37,1,5,-4,0,4,2,4,-2,4,6,0,0,25,11,0,0,3
1591,13153,08,11,13,18,28,33,10,111,18.50,31,3,3,0,1,1,3,3,0,3,5,0,0,25,10,0,1,2
1592,13154,07,11,14,19,24,29,05,104,17.33,34,4,2,2,1,0,3,3,0,4,7,0,0,22,5,1,1,4
1593,14001,03,09,15,20,27,29,01,103,17.17,33,5,1,4,3,0,3,3,0,5,8,0,0,26,7,1,1,2
1594,14002,04,21,23,31,32,33,04,144,24.00,14,4,2,2,2,0,5,1,4,4,7,2,1,29,17,0,0,2
1595,14003,06,10,11,28,30,33,12,118,19.67,18,2,4,-2,0,2,3,3,0,5,8,1,1,27,17,1,1,2
1596,14004,01,04,19,22,24,25,15,95,15.83,25,3,3,0,0,1,4,2,2,5,6,1,1,24,15,0,0,0
1597,14005,15,18,23,27,32,33,04,148,24.67,28,4,2,2,1,0,5,1,4,5,8,1,1,18,5,0,0,2
1598,14006,03,04,07,17,21,27,14,79,13.17,29,5,1,4,3,0,3,3,0,4,7,1,1,24,10,0,1,1
1599,14007,08,10,12,14,18,28,14,90,15.00,30,0,6,-6,0,5,2,4,-2,4,4,0,0,20,10,0,0,3
1600,14008,05,14,16,21,29,30,12,115,19.17,25,3,3,0,1,1,3,3,0,6,8,1,1,25,9,0,1,1
1601,14009,08,09,19,20,25,32,16,113,18.83,33,3,3,0,1,0,4,2,2,5,7,2,2,24,10,0,0,1
1602,14010,05,07,08,20,31,33,11,104,17.33,24,4,2,2,2,1,3,3,0,6,7,1,1,28,12,1,2,5
1603,14011,09,10,13,14,21,32,02,99,16.50,19,3,3,0,0,0,2,4,-2,6,7,2,2,23,11,0,0,3
1604,14012,01,08,11,19,21,24,08,84,14.00,24,4,2,2,2,0,3,3,0,4,7,0,0,23,8,1,1,2
1605,14013,05,09,13,15,17,21,13,80,13.33,30,6,0,6,5,0,2,4,-2,5,2,0,0,16,4,0,1,1
1606,14014,04,09,19,22,25,29,15,108,18.00,38,4,2,2,2,0,4,2,2,4,8,0,0,25,10,1,1,2
1607,14015,02,11,19,30,32,33,09,127,21.17,17,3,3,0,1,1,4,2,2,5,10,1,1,31,11,1,1,1
1608,14016,02,03,07,13,21,24,08,70,11.67,20,4,2,2,3,0,2,4,-2,5,9,1,1,22,8,1,1,1
1609,14017,04,06,07,14,25,26,10,82,13.67,32,2,4,-2,0,1,2,4,-2,4,8,2,2,22,11,1,1,4
1610,14018,13,17,18,21,30,33,15,132,22.00,22,4,2,2,1,0,5,1,4,5,7,1,1,20,9,0,0,1
1611,14019,02,10,15,19,20,21,07,87,14.50,17,3,3,0,1,1,3,3,0,5,8,2,1,19,8,0,1,2
1612,14020,09,14,17,23,24,25,15,112,18.67,32,4,2,2,1,0,4,2,2,5,8,2,1,16,6,0,0,2
1613,14021,08,10,15,17,22,29,12,101,16.83,31,3,3,0,1,1,3,3,0,6,3,0,0,21,7,0,1,4
1614,14022,04,06,07,10,21,26,16,74,12.33,24,2,4,-2,0,1,2,4,-2,5,9,1,1,22,11,0,1,2
1615,14023,07,09,13,17,21,22,10,89,14.83,29,5,1,4,4,0,3,3,0,5,7,1,1,15,4,1,2,3
1616,14024,08,10,16,20,23,30,09,107,17.83,17,1,5,-4,0,3,3,3,0,4,8,0,0,22,7,0,0,5
1617,14025,01,05,10,14,16,30,16,76,12.67,16,2,4,-2,1,3,1,5,-4,5,8,0,0,29,14,1,3,0
1618,14026,01,02,05,06,11,23,14,48,8.00,18,4,2,2,1,0,1,5,-4,5,7,2,2,22,12,1,2,3
1619,14027,08,10,14,16,30,31,01,109,18.17,19,1,5,-4,0,4,2,4,-2,5,8,1,1,23,14,0,0,1
1620,14028,06,16,21,27,30,32,05,132,22.00,22,2,4,-2,1,2,4,2,2,5,8,0,0,26,10,1,2,2
1621,14029,02,07,14,16,21,29,14,89,14.83,29,3,3,0,1,1,2,4,-2,6,7,0,0,27,8,0,2,2
1622,14030,12,18,19,23,24,30,10,126,21.00,26,2,4,-2,1,2,5,1,4,6,3,2,2,18,6,0,0,1
1623,14031,04,10,16,17,21,27,14,95,15.83,25,3,3,0,2,2,3,3,0,5,6,1,1,23,6,0,0,1
1624,14032,01,02,14,22,29,33,07,101,16.83,21,3,3,0,1,2,3,3,0,5,10,1,1,32,12,0,0,1
1625,14033,05,13,23,28,32,33,12,134,22.33,24,4,2,2,2,1,4,2,2,4,8,1,1,28,10,1,1,4
1626,14034,01,03,04,08,25,31,06,72,12.00,22,4,2,2,2,1,2,4,-2,5,10,1,1,30,17,0,0,2
1627,14035,07,08,09,17,32,33,06,106,17.67,36,4,2,2,1,0,3,3,0,5,6,3,2,26,15,0,1,3
1628,14036,01,07,08,09,11,22,03,58,9.67,28,4,2,2,2,0,1,5,-4,5,8,2,1,21,11,0,3,3
1629,14037,06,13,14,24,25,30,07,112,18.67,22,2,4,-2,0,1,3,3,0,5,8,2,2,24,10,0,0,1
1630,14038,04,07,22,23,24,33,16,113,18.83,23,3,3,0,0,0,4,2,2,4,9,2,1,29,15,0,1,3
1631,14039,03,11,15,19,20,31,07,99,16.50,19,5,1,4,3,0,3,3,0,5,6,1,1,28,11,0,0,1
1632,14040,03,04,06,11,12,15,08,51,8.50,21,3,3,0,0,1,0,6,-6,6,6,2,2,12,5,1,3,2
1633,14041,07,11,16,18,21,22,02,95,15.83,25,3,3,0,1,1,3,3,0,5,7,1,1,15,5,0,1,3
1634,14042,12,15,20,25,28,33,14,133,22.17,23,3,3,0,0,0,4,2,2,5,3,0,0,21,5,0,0,3
1635,14043,02,05,09,14,24,33,09,87,14.50,27,3,3,0,1,1,2,4,-2,5,8,0,0,31,10,1,1,2
1636,14044,04,09,21,27,28,33,12,122,20.33,32,4,2,2,2,0,4,2,2,6,6,1,1,29,12,1,2,1
1637,14045,02,04,09,11,19,22,15,67,11.17,27,3,3,0,2,1,2,4,-2,4,8,0,0,20,8,0,2,1
1638,14046,02,10,11,17,18,22,10,80,13.33,20,2,4,-2,1,2,3,3,0,5,7,2,2,20,8,2,3,2
1639,14047,08,10,11,12,19,29,15,89,14.83,29,3,3,0,1,1,2,4,-2,5,8,2,1,21,10,2,2,4
1640,14048,06,09,16,17,24,25,16,97,16.17,37,3,3,0,0,0,3,3,0,5,6,2,2,19,7,0,0,1
1641,14049,06,07,16,17,23,32,06,101,16.83,31,3,3,0,1,0,3,3,0,4,6,2,2,26,9,3,3,4
1642,14050,03,17,23,25,26,32,13,126,21.00,26,4,2,2,3,1,5,1,4,5,8,1,1,29,14,1,3,1
1643,14051,10,16,19,21,23,24,13,113,18.83,23,3,3,0,2,1,4,2,2,6,7,1,1,14,6,0,1,2
1644,14052,09,13,15,28,30,33,08,128,21.33,28,4,2,2,2,1,3,3,0,5,8,0,0,24,13,0,0,2
1645,14053,14,17,19,22,26,31,02,129,21.50,29,3,3,0,1,1,5,1,4,6,5,0,0,17,5,0,0,2
1646,14054,01,04,05,11,29,30,14,80,13.33,20,4,2,2,2,0,2,4,-2,5,8,2,2,29,18,0,0,1
1647,14055,02,09,14,19,21,30,04,95,15.83,25,3,3,0,1,0,3,3,0,5,7,0,0,28,9,1,1,2
1648,14056,01,11,18,20,28,29,01,107,17.83,27,3,3,0,1,2,4,2,2,4,7,1,1,28,10,0,0,4
1649,14057,02,04,12,18,23,31,08,90,15.00,20,2,4,-2,1,3,3,3,0,5,8,0,0,29,8,0,1,2
1650,14058,02,03,12,13,14,25,11,69,11.50,19,3,3,0,0,0,1,5,-4,4,4,3,2,23,11,2,2,2
1651,14059,05,08,12,13,23,25,13,86,14.33,26,4,2,2,2,1,2,4,-2,4,10,1,1,20,10,3,3,2
1652,14060,03,05,14,18,25,33,06,98,16.33,28,4,2,2,2,1,3,3,0,4,8,0,0,30,9,0,2,1
1653,14061,02,14,17,27,28,31,08,119,19.83,29,3,3,0,1,1,4,2,2,5,8,1,1,29,12,0,1,2
1654,14062,06,09,15,24,25,26,09,105,17.50,35,3,3,0,1,0,3,3,0,4,8,2,1,20,9,0,0,2
1655,14063,03,08,17,21,22,31,16,102,17.00,22,4,2,2,1,0,4,2,2,5,6,1,1,28,9,0,0,1
1656,14064,02,09,15,16,29,32,14,103,17.17,33,3,3,0,1,0,2,4,-2,4,7,1,1,30,13,0,0,4
1657,14065,03,04,05,08,10,22,06,52,8.67,22,2,4,-2,0,2,1,5,-4,6,7,2,1,19,12,0,0,3
1658,14066,02,05,15,17,18,21,16,78,13.00,28,4,2,2,2,0,3,3,0,5,6,1,1,19,10,0,1,3
1659,14067,01,06,07,17,18,23,06,72,12.00,32,4,2,2,1,0,3,3,0,5,4,2,2,22,10,2,2,4
1660,14068,04,12,13,22,27,29,16,107,17.83,27,3,3,0,1,1,3,3,0,5,9,1,1,25,9,0,0,1
1661,14069,05,12,17,19,25,30,11,108,18.00,28,4,2,2,2,0,4,2,2,5,7,0,0,25,7,1,1,3
1662,14070,01,07,09,19,28,29,07,93,15.50,43,5,1,4,3,0,3,3,0,4,9,1,1,28,10,1,1,1
1663,14071,02,04,12,17,22,25,14,82,13.67,22,2,4,-2,0,2,3,3,0,4,6,0,0,23,8,0,0,1
1664,14072,01,03,07,13,19,32,16,75,12.50,25,5,1,4,4,0,2,4,-2,5,7,0,0,31,13,0,0,3
1665,14073,01,12,16,20,30,33,02,112,18.67,12,2,4,-2,0,3,3,3,0,5,9,0,0,32,11,1,1,3
1666,14074,01,03,06,13,30,31,12,84,14.00,14,4,2,2,1,0,2,4,-2,4,10,1,1,30,17,2,2,2
1667,14075,03,09,11,22,27,29,06,101,16.83,31,5,1,4,3,0,3,3,0,5,8,0,0,26,11,0,1,1
1668,14076,06,10,12,17,18,33,11,96,16.00,26,2,4,-2,0,2,3,3,0,6,9,1,1,27,15,0,0,2
1669,14077,08,09,12,15,19,22,10,85,14.17,35,3,3,0,1,0,2,4,-2,4,4,1,1,14,4,1,1,2
1670,14078,02,03,05,06,09,17,07,42,7.00,32,4,2,2,2,0,1,5,-4,6,6,2,2,15,8,0,1,1
1671,14079,02,07,16,22,27,28,02,102,17.00,32,2,4,-2,0,1,3,3,0,4,7,1,1,26,9,1,1,3
1672,14080,05,14,16,17,25,30,07,107,17.83,27,3,3,0,1,1,3,3,0,5,8,1,1,25,9,1,1,1
1673,14081,08,14,22,24,27,29,10,124,20.67,34,2,4,-2,1,3,4,2,2,5,8,0,0,21,8,1,1,2
1674,14082,02,04,20,25,26,29,11,106,17.67,26,2,4,-2,0,2,4,2,2,6,10,1,1,27,16,1,1,2
1675,14083,05,06,19,21,23,33,12,107,17.83,27,5,1,4,3,0,4,2,2,5,8,1,1,28,13,0,0,3
1676,14084,01,06,09,10,13,25,08,64,10.67,24,4,2,2,1,0,1,5,-4,6,7,1,1,24,12,1,1,1
1677,14085,01,02,11,19,23,29,08,85,14.17,25,5,1,4,3,0,3,3,0,4,8,1,1,28,9,1,1,2
1678,14086,02,04,10,12,14,30,08,72,12.00,12,0,6,-6,0,5,1,5,-4,3,6,0,0,28,16,0,1,4
1679,14087,06,18,22,23,32,33,06,134,22.33,24,2,4,-2,0,2,5,1,4,4,8,2,2,27,12,0,0,0
1680,14088,03,06,11,14,16,29,15,79,13.17,29,3,3,0,0,1,1,5,-4,5,6,0,0,26,13,0,1,0
1681,14089,04,06,14,17,27,30,09,98,16.33,28,2,4,-2,1,2,3,3,0,4,6,0,0,26,10,1,2,3
1682,14090,05,09,11,19,24,32,13,100,16.67,30,4,2,2,3,1,3,3,0,5,8,0,0,27,8,0,0,1
1683,14091,01,05,12,19,27,29,14,93,15.50,33,5,1,4,3,0,3,3,0,5,9,0,0,28,8,1,2,1
1684,14092,03,13,18,19,22,26,07,101,16.83,31,3,3,0,1,1,4,2,2,5,9,1,1,23,10,1,1,3
1685,14093,02,08,09,10,20,29,05,78,13.00,28,2,4,-2,0,2,2,4,-2,4,9,2,1,27,10,0,0,2
1686,14094,01,10,18,20,23,29,01,101,16.83,21,3,3,0,1,2,4,2,2,5,8,0,0,28,9,1,3,2
1687,14095,05,06,08,14,22,31,08,86,14.33,26,2,4,-2,0,3,2,4,-2,6,7,1,1,26,9,0,0,1
1688,14096,12,14,17,19,22,24,08,108,18.00,28,2,4,-2,1,2,4,2,2,4,2,0,0,12,3,1,2,0
1689,14097,07,13,24,25,27,32,15,128,21.33,28,4,2,2,2,0,4,2,2,5,10,1,1,25,11,0,1,2
1690,14098,02,13,17,20,29,31,07,112,18.67,22,4,2,2,2,0,4,2,2,6,8,0,0,29,11,1,1,1
1691,14099,01,05,10,11,13,32,14,72,12.00,12,4,2,2,2,0,1,5,-4,5,10,1,1,31,19,0,1,2
1692,14100,01,06,09,10,14,16,11,56,9.33,26,2,4,-2,0,2,0,6,-6,5,7,1,1,15,5,1,2,4
1693,14101,16,18,20,23,24,32,07,133,22.17,23,1,5,-4,0,3,5,1,4,6,7,1,1,16,8,0,1,0
1694,14102,14,16,21,24,28,31,13,134,22.33,24,2,4,-2,0,2,4,2,2,4,6,0,0,17,5,0,2,3
1695,14103,03,08,09,10,18,33,04,81,13.50,31,3,3,0,0,1,2,4,-2,4,8,2,1,30,15,0,0,0
1696,14104,02,06,12,19,27,28,13,94,15.67,34,2,4,-2,1,2,3,3,0,5,10,1,1,26,8,0,0,2
1697,14105,14,16,17,19,27,32,04,125,20.83,35,3,3,0,2,1,4,2,2,5,6,1,1,18,8,2,2,1
1698,14106,09,14,17,18,21,25,15,104,17.33,34,4,2,2,1,0,4,2,2,6,5,1,1,16,5,1,2,2
1699,14107,11,14,17,22,25,27,16,116,19.33,26,4,2,2,1,0,4,2,2,5,5,0,0,16,5,2,3,2
1700,14108,03,08,09,20,23,28,02,91,15.17,31,3,3,0,0,0,3,3,0,4,8,1,1,25,11,0,0,2
1701,14109,02,05,11,15,19,28,02,80,13.33,30,4,2,2,3,0,2,4,-2,5,6,0,0,26,9,1,1,2
1702,14110,01,08,11,13,19,30,06,82,13.67,22,4,2,2,2,0,2,4,-2,5,9,0,0,29,11,2,2,1
1703,14111,02,08,17,20,22,28,02,97,16.17,27,1,5,-4,0,3,4,2,2,4,8,0,0,26,9,1,1,2
1704,14112,01,15,16,21,24,30,03,107,17.83,17,3,3,0,1,1,3,3,0,5,6,1,1,29,14,0,0,3
1705,14113,12,14,28,31,32,33,07,150,25.00,20,2,4,-2,0,2,4,2,2,5,7,2,1,21,14,0,0,2
1706,14114,02,07,23,30,32,33,10,127,21.17,17,3,3,0,1,1,4,2,2,4,10,1,1,31,16,2,2,3
1707,14115,01,09,10,11,13,32,03,76,12.67,16,4,2,2,2,0,1,5,-4,5,8,2,1,31,19,0,1,2
1708,14116,09,10,14,15,19,29,16,96,16.00,36,4,2,2,2,1,2,4,-2,4,5,2,2,20,10,0,2,3
1709,14117,05,10,17,25,28,29,04,114,19.00,34,4,2,2,1,0,4,2,2,5,9,1,1,24,8,2,2,2
1710,14118,05,07,15,18,26,30,03,101,16.83,31,3,3,0,2,2,3,3,0,5,8,0,0,25,8,1,1,3
1711,14119,06,13,17,20,26,29,09,111,18.50,31,3,3,0,1,1,4,2,2,5,7,0,0,23,7,1,1,3
1712,14120,01,07,12,16,23,28,04,87,14.50,27,3,3,0,1,1,2,4,-2,6,7,0,0,27,7,0,0,4
1713,14121,01,02,13,22,28,30,09,96,16.00,16,2,4,-2,0,2,3,3,0,5,10,1,1,29,11,1,2,3
1714,14122,06,09,11,16,20,29,11,91,15.17,31,3,3,0,1,1,2,4,-2,4,8,0,0,23,9,0,0,1
1715,14123,01,06,11,17,28,33,05,96,16.00,26,4,2,2,1,0,3,3,0,5,4,0,0,32,11,1,2,2
1716,14124,02,17,20,24,31,33,04,127,21.17,17,3,3,0,1,1,5,1,4,6,9,0,0,31,15,1,2,1
1717,14125,10,11,15,26,31,32,06,125,20.83,15,3,3,0,1,0,3,3,0,5,6,2,2,22,11,1,1,1
1718,14126,06,11,16,17,22,27,01,99,16.50,29,3,3,0,0,0,3,3,0,4,2,1,1,21,5,1,1,3
1719,14127,02,10,12,21,23,27,12,95,15.83,15,3,3,0,2,2,3,3,0,5,8,0,0,25,9,1,1,4
1720,14128,05,07,08,17,18,24,14,79,13.17,39,3,3,0,1,1,3,3,0,4,8,2,2,19,9,0,0,1
1721,14129,05,08,09,20,28,32,02,102,17.00,32,2,4,-2,0,2,3,3,0,5,7,1,1,27,11,1,2,2
1722,14130,01,02,10,24,30,33,10,100,16.67,10,2,4,-2,0,3,3,3,0,5,8,1,1,32,14,0,0,2
1723,14131,05,17,21,22,28,32,14,125,20.83,25,3,3,0,2,2,5,1,4,5,8,1,1,27,12,0,0,1
1724,14132,05,06,14,15,18,33,08,91,15.17,31,3,3,0,0,1,2,4,-2,5,8,2,2,28,15,1,1,3
1725,14133,13,14,16,23,30,31,13,127,21.17,17,3,3,0,0,1,3,3,0,5,7,2,2,18,7,0,1,3
1726,14134,05,16,22,23,26,28,02,120,20.00,30,2,4,-2,0,2,4,2,2,5,9,1,1,23,11,1,2,1
1727,14135,02,04,11,13,25,33,01,88,14.67,18,4,2,2,3,1,2,4,-2,5,8,0,0,31,12,0,0,2
1728,14136,03,16,19,27,31,32,10,128,21.33,28,4,2,2,2,0,4,2,2,6,8,1,1,29,13,0,0,2
1729,14137,03,06,09,11,25,29,09,83,13.83,33,5,1,4,3,0,2,4,-2,5,9,0,0,26,14,1,1,0
1730,14138,04,06,13,29,31,33,13,116,19.33,26,4,2,2,3,1,3,3,0,5,6,0,0,29,16,1,2,1
1731,14139,01,14,15,20,25,29,11,104,17.33,24,4,2,2,1,0,3,3,0,5,8,1,1,28,13,0,1,1
1732,14140,06,10,11,14,17,33,06,91,15.17,21,3,3,0,1,1,2,4,-2,6,8,1,1,27,16,0,1,1
1733,14141,08,09,11,16,21,24,10,89,14.83,29,3,3,0,1,0,2,4,-2,5,6,1,1,16,5,1,1,3
1734,14142,06,21,22,23,25,28,13,125,20.83,25,3,3,0,1,0,5,1,4,6,7,2,1,22,15,0,1,3
1735,14143,03,12,18,20,25,26,16,104,17.33,24,2,4,-2,0,2,4,2,2,6,8,1,1,23,9,1,1,2
1736,14144,03,05,06,09,10,27,14,60,10.00,30,4,2,2,1,0,1,5,-4,6,7,2,2,24,17,1,1,1
1737,14145,10,12,13,23,26,29,11,113,18.83,23,3,3,0,1,1,3,3,0,5,6,1,1,19,10,0,1,2
1738,14146,01,06,13,20,29,32,01,101,16.83,21,3,3,0,0,0,3,3,0,6,7,0,0,31,9,1,2,1
1739,14147,06,07,22,26,31,32,10,124,20.67,24,2,4,-2,0,1,4,2,2,4,8,2,2,26,15,1,2,2
1740,14148,01,02,05,12,15,16,13,51,8.50,21,3,3,0,0,0,0,6,-6,4,4,2,2,15,7,0,0,1
1741,14149,07,09,10,15,19,33,01,93,15.50,33,5,1,4,3,0,2,4,-2,5,10,1,1,26,14,0,1,1
1742,14150,03,08,14,22,24,32,09,103,17.17,23,1,5,-4,0,4,3,3,0,4,8,0,0,29,8,0,0,3
1743,14151,04,05,08,11,21,27,08,76,12.67,26,4,2,2,2,0,2,4,-2,5,7,1,1,23,10,0,1,2
1744,14152,08,13,15,20,21,25,12,102,17.00,22,4,2,2,2,0,3,3,0,5,6,1,1,17,5,1,2,1
1745,15001,01,07,09,16,20,23,06,76,12.67,26,4,2,2,2,1,2,4,-2,6,9,0,0,22,7,0,1,4
1746,15002,07,15,16,25,28,32,05,123,20.50,33,3,3,0,1,1,3,3,0,5,9,1,1,25,9,0,2,1
1747,15003,10,15,20,23,24,31,15,123,20.50,13,3,3,0,0,0,4,2,2,5,8,1,1,21,7,1,1,3
1748,15004,02,14,15,16,23,24,10,94,15.67,24,2,4,-2,0,1,2,4,-2,5,6,3,2,22,12,0,3,4
1749,15005,07,10,16,17,18,32,15,100,16.67,30,2,4,-2,0,2,3,3,0,5,9,2,1,25,14,0,1,2
1750,15006,01,10,11,29,31,33,13,115,19.17,15,5,1,4,3,0,3,3,0,4,9,1,1,32,18,1,1,3
1751,15007,01,07,09,17,20,33,08,87,14.50,27,5,1,4,3,0,3,3,0,5,7,0,0,32,13,2,2,1
1752,15008,04,07,10,16,20,22,03,79,13.17,19,1,5,-4,0,3,2,4,-2,5,6,0,0,18,6,2,2,2
1753,15009,04,07,14,17,21,25,14,88,14.67,28,4,2,2,2,0,3,3,0,4,6,0,0,21,7,2,2,2
1754,15010,01,02,03,08,21,31,09,66,11.00,16,4,2,2,1,0,2,4,-2,4,9,2,1,30,13,1,1,2
1755,15011,04,14,15,17,18,20,15,88,14.67,28,2,4,-2,1,2,3,3,0,5,6,2,2,16,10,0,0,2
1756,15012,03,05,22,23,29,31,06,113,18.83,23,5,1,4,3,0,4,2,2,5,8,1,1,28,17,0,0,2
1757,15013,08,09,24,25,26,29,01,121,20.17,41,3,3,0,0,0,4,2,2,5,6,3,2,21,15,0,1,1
1758,15014,02,12,16,19,27,30,11,106,17.67,26,2,4,-2,1,2,3,3,0,5,7,0,0,28,10,0,0,2
1759,15015,01,07,20,24,25,33,04,110,18.33,20,4,2,2,2,1,4,2,2,6,9,1,1,32,13,0,0,2
1760,15016,02,06,10,15,17,31,13,81,13.50,21,3,3,0,2,2,2,4,-2,6,9,0,0,29,14,0,0,2
1761,15017,13,18,20,25,27,33,12,136,22.67,26,4,2,2,2,1,5,1,4,5,6,0,0,20,6,0,0,1
