,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
70,22124,2022-10-30,05,10,13,18,24,26,01,24,18,05,26,10,13,"1,740,587,803",4,"10,000,000",124,"234,571","383,396,494",96,16.00,26,2,4,-2,0,2,3,3,0,6,6,0,0,21,6,0,2,2
71,22123,2022-10-27,10,13,16,20,21,25,05,16,25,21,20,10,13,"1,693,327,054",8,"7,557,633",637,"40,151","360,850,820",105,17.50,15,3,3,0,1,1,3,3,0,5,7,1,1,15,4,0,0,3
72,22122,2022-10-25,06,08,17,19,24,28,05,24,28,19,17,08,06,"1,677,059,125",26,"5,519,812",214,"78,943","350,001,646",102,17.00,42,2,4,-2,1,2,4,2,2,5,6,0,0,22,9,0,1,1
73,22121,2022-10-23,12,17,22,27,30,31,02,17,30,31,27,22,12,"1,769,892,531",8,"8,069,743",102,"300,955","380,066,114",139,23.17,19,3,3,0,0,0,5,1,4,4,7,1,1,19,5,0,1,2
74,22120,2022-10-20,02,15,19,26,27,29,02,15,26,29,19,02,27,"1,742,358,177",43,"5,486,128",288,"90,727","355,500,194",118,19.67,38,4,2,2,2,0,4,2,2,5,10,1,1,27,13,1,4,3
75,22119,2022-10-18,02,05,15,18,26,27,04,02,18,05,27,26,15,"1,899,873,541",12,"6,494,901",309,"72,568","341,495,720",93,15.50,33,3,3,0,1,1,3,3,0,5,8,1,1,25,10,1,1,2
76,22118,2022-10-16,02,06,07,11,14,33,08,14,07,06,33,11,02,"1,910,541,782",5,"7,499,223",173,"90,289","374,309,728",73,12.17,23,3,3,0,1,1,1,5,-4,6,8,1,1,31,19,0,0,1
77,22117,2022-10-13,04,13,17,18,28,29,06,17,04,29,13,28,18,"1,901,177,457",11,"6,083,031",166,"89,708","345,578,024",109,18.17,39,3,3,0,1,1,4,2,2,5,8,2,2,25,10,0,0,3
78,22116,2022-10-11,08,14,26,27,30,33,01,33,30,26,08,27,14,"1,923,415,752",1,"10,000,000",93,"300,121","337,975,208",138,23.00,28,2,4,-2,0,2,4,2,2,6,7,1,1,25,12,0,1,3
79,22115,2022-10-09,06,07,18,20,27,29,09,06,27,18,29,20,07,"1,849,681,926",33,"5,308,918",169,"75,401","359,461,828",107,17.83,37,3,3,0,1,1,4,2,2,5,7,1,1,23,11,1,1,4
80,22114,2022-10-06,01,05,15,19,26,29,13,19,15,26,05,29,01,"1,986,647,604",12,"6,667,026",241,"103,756","347,069,064",95,15.83,35,5,1,4,3,0,3,3,0,4,6,0,0,28,10,1,1,3
81,22113,2022-09-29,13,14,20,24,27,29,02,14,13,29,27,20,24,"1,991,635,746",2,"10,000,000",84,"294,642","363,604,180",127,21.17,27,3,3,0,1,2,4,2,2,5,9,1,1,16,6,0,0,1
82,22112,2022-09-27,03,05,08,17,25,31,01,31,08,25,03,05,17,"1,937,385,782",5,"9,412,037",169,"163,167","348,893,862",89,14.83,29,5,1,4,3,0,3,3,0,5,9,0,0,28,9,1,1,1
83,22111,2022-09-25,02,10,11,13,28,31,01,11,28,31,02,13,10,"1,901,720,272",3,"10,000,000",160,"198,653","385,923,798",95,15.83,15,3,3,0,1,1,2,4,-2,5,8,1,1,29,15,0,2,1
84,22110,2022-09-22,09,13,15,18,20,28,15,28,18,20,09,13,15,"1,836,366,779",7,"8,127,543",237,"115,468","352,346,658",103,17.17,33,3,3,0,2,2,3,3,0,5,8,0,0,19,8,0,1,2
85,22109,2022-09-20,04,11,13,19,22,33,11,13,04,19,33,11,22,"1,811,161,575",5,"8,345,394",78,"268,060","349,805,376",102,17.00,22,4,2,2,2,0,3,3,0,5,8,0,0,29,11,1,1,1
86,22108,2022-09-18,01,07,13,17,18,31,15,18,17,13,01,07,31,"1,790,162,397",13,"6,708,669",269,"103,218","379,260,702",87,14.50,27,5,1,4,3,0,3,3,0,4,9,1,1,30,13,0,0,1
87,22107,2022-09-15,03,09,11,15,19,28,16,28,03,09,15,19,11,"1,794,077,479",9,"6,545,730",139,"125,104","342,747,048",85,14.17,35,5,1,4,4,0,2,4,-2,5,7,0,0,25,9,0,0,1
88,22106,2022-09-13,17,20,22,23,24,31,01,17,23,20,24,22,31,"1,800,820,638",3,"10,000,000",50,"555,486","336,123,528",137,22.83,17,3,3,0,0,1,6,0,6,6,6,2,1,14,7,0,1,3
89,22105,2022-09-11,06,12,13,15,21,23,15,23,13,06,12,15,21,"1,747,497,631",4,"10,000,000",85,"325,048","357,410,590",90,15.00,20,4,2,2,3,1,2,4,-2,5,6,1,1,17,6,0,0,0
90,22104,2022-09-08,01,08,19,25,26,31,01,01,25,31,19,08,26,"1,704,610,228",18,"5,821,410",214,"86,363","337,087,306",110,18.33,30,4,2,2,1,0,4,2,2,5,7,1,1,30,11,0,0,2
91,22103,2022-09-06,06,09,12,14,20,28,10,14,12,09,20,06,28,"1,753,950,406",12,"6,266,348",146,"130,104","331,343,836",89,14.83,29,1,5,-4,0,3,2,4,-2,6,5,0,0,22,8,1,2,2
92,22102,2022-09-04,09,10,12,18,29,32,14,10,32,12,09,29,18,"1,772,160,912",6,"8,618,279",137,"198,080","360,805,992",110,18.33,30,2,4,-2,0,2,3,3,0,4,8,1,1,23,11,0,1,2
93,22101,2022-09-01,04,16,18,19,27,28,04,19,27,04,28,18,16,"1,742,459,306",34,"5,458,579",134,"145,444","342,584,116",112,18.67,42,2,4,-2,1,2,4,2,2,5,7,2,2,24,12,0,0,2
94,22100,2022-08-30,02,06,07,15,20,21,15,06,21,20,02,15,07,"1,869,582,122",11,"6,875,089",106,"243,230","338,953,236",71,11.83,21,3,3,0,1,1,2,4,-2,6,6,2,2,19,8,0,0,1
95,22099,2022-08-28,01,11,23,24,26,32,15,24,11,23,26,32,01,"1,867,860,655",8,"7,480,623",256,"96,899","368,635,154",117,19.50,17,3,3,0,2,2,4,2,2,5,10,1,1,31,12,0,0,2
96,22098,2022-08-25,02,03,04,06,21,33,05,33,06,21,03,02,04,"1,853,286,941",14,"6,203,690",34,"619,546","339,839,938",69,11.50,19,3,3,0,1,1,2,4,-2,5,8,2,1,31,15,0,1,3
97,22097,2022-08-23,04,05,10,13,30,31,14,04,13,05,10,30,31,"1,876,944,863",3,"10,000,000",65,"421,826","339,168,020",93,15.50,13,3,3,0,0,0,2,4,-2,5,8,2,2,27,17,0,0,1
98,22096,2022-08-21,03,16,17,19,25,33,07,16,25,19,17,03,33,"1,824,688,735",50,"5,337,053",94,"224,104","374,401,638",113,18.83,33,5,1,4,3,0,4,2,2,5,7,1,1,30,13,0,0,3
99,22095,2022-08-18,04,13,14,18,20,28,08,28,14,18,04,13,20,"2,028,343,930",7,"7,040,114",71,"251,422","339,954,958",97,16.17,27,1,5,-4,0,3,3,3,0,4,8,1,1,24,9,0,1,3
100,22094,2022-08-16,06,11,13,16,19,31,02,16,06,11,31,19,13,"2,024,071,723",3,"10,000,000",186,"111,576","333,751,422",96,16.00,26,4,2,2,2,0,2,4,-2,4,8,0,0,25,12,0,0,1
101,22093,2022-08-14,21,22,24,28,29,32,14,32,29,22,21,24,28,"1,991,811,868",2,"10,000,000",58,"481,689","363,673,578",156,26.00,26,2,4,-2,0,2,6,0,6,5,5,2,2,11,4,0,1,3
102,22092,2022-08-11,07,10,16,20,21,27,11,21,20,07,27,10,16,"1,927,997,908",20,"5,805,294",245,"82,172","337,222,664",101,16.83,21,3,3,0,1,2,3,3,0,4,8,1,1,20,6,0,1,3
103,22091,2022-08-09,08,18,20,22,24,28,10,24,18,20,28,22,08,"1,983,706,692",8,"6,721,485",244,"70,552","335,981,918",120,20.00,30,0,6,-6,0,5,5,1,4,4,4,0,0,20,10,0,0,2
